GP1,GP2,S
1,0,1
0,1,1
2,0,2
0,2,2
1,1,loss
3,0,loss
0,3,loss
2,1,loss
1,2,loss
4,0,1
0,4,1
1,3,1
3,1,1
2,2,1
5,0,2
0,5,2
1,4,2
4,1,2
2,3,2
3,2,2
6,0,loss
0,6,loss
1,5,loss
5,1,loss
2,4,loss
4,2,loss
3,3,loss
7,0,1
0,7,1
6,1,1
1,6,1
2,5,1
5,2,1
4,3,1
3,4,1
8,0,2
0,8,2
1,7,2
7,1,2
2,6,2
6,2,2
3,5,2
5,3,2
4,4,2
9,0,loss
0,9,loss
1,8,loss
8,1,loss
2,7,loss
7,2,loss
3,6,loss
6,3,loss
4,5,loss
5,4,loss
10,0,1
0,10,1
1,9,1
9,1,1
2,8,1
8,2,1
3,7,1
7,3,1
4,6,1
6,4,1
5,5,1
11,0,2
0,11,2
1,10,2
10,1,2
2,9,2
9,2,2
3,8,2
8,3,2
4,7,2
7,4,2
5,6,2
6,5,2
12,0,loss
0,12,loss
1,11,loss
11,1,loss
2,10,loss
10,2,loss
3,9,loss
9,3,loss
4,8,loss
8,4,loss
5,7,loss
7,5,loss
6,6,loss
13,0,1
0,13,1
1,12,1
12,1,1
2,11,1
11,2,1
3,10,1
10,3,1
4,9,1
9,4,1
5,8,1
8,5,1
6,7,1
7,6,1
0,4,1
1,3,1
2,2,1
3,1,1
4,0,1
0,5,2
1,4,2
2,3,2
3,2,2
4,1,2
5,0,2
0,6,loss
1,5,loss
2,4,loss
3,3,loss
4,2,loss
5,1,loss
6,0,loss
0,7,1
1,6,1
2,5,1
3,4,1
4,3,1
5,2,1
6,1,1
7,0,1
0,8,2
1,7,2
2,6,2
3,5,2
4,4,2
5,3,2
6,2,2
7,1,2
8,0,2
0,9,loss
1,8,loss
2,7,loss
3,6,loss
4,5,loss
5,4,loss
6,3,loss
7,2,loss
8,1,loss
9,0,loss
0,10,1
1,9,1
2,8,1
3,7,1
4,6,1
5,5,1
6,4,1
7,3,1
8,2,1
9,1,1
10,0,1
0,11,2
1,10,2
2,9,2
3,8,2
4,7,2
5,6,2
6,5,2
7,4,2
8,3,2
9,2,2
10,1,2
11,0,2
0,12,loss
1,11,loss
2,10,loss
3,9,loss
4,8,loss
5,7,loss
6,6,loss
7,5,loss
8,4,loss
9,3,loss
10,2,loss
11,1,loss
12,0,loss
0,13,1
1,12,1
2,11,1
3,10,1
4,9,1
5,8,1
6,7,1
7,6,1
8,5,1
9,4,1
10,3,1
11,2,1
12,1,1
13,0,1
0,14,2
1,13,2
2,12,2
3,11,2
4,10,2
5,9,2
6,8,2
7,7,2
8,6,2
9,5,2
10,4,2
11,3,2
12,2,2
13,1,2
14,0,2
0,15,loss
1,14,loss
2,13,loss
3,12,loss
4,11,loss
5,10,loss
6,9,loss
7,8,loss
8,7,loss
9,6,loss
10,5,loss
11,4,loss
12,3,loss
13,2,loss
14,1,loss
15,0,loss
0,16,1
1,15,1
2,14,1
3,13,1
4,12,1
5,11,1
6,10,1
7,9,1
